PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Rank
85.3,183.4,18.2,18.1,26.8,57.8,1.1,15.8,60,5.4,7.2,17,176,Very Unhealthy
58.1,129.3,14,16.6,21.9,74.9,0.9,16.7,57.2,4.5,8,17.2,154,Very Unhealthy
85.9,150.4,15.2,19.8,25.1,62.1,1.1,17.3,55.1,5.9,8.1,18.5,168,Very Unhealthy
51.4,103.6,7.7,16,16.3,56.5,0.8,18.3,50.5,4.6,8.1,18.6,124,Very Unhealthy
61.2,113.7,8.1,17.6,17.3,54.3,1,16.4,43.6,5.1,7.8,17.9,122,Very Unhealthy
31.8,60.7,8.1,15.1,15.6,54,0.8,16.3,38.8,4.4,7.7,17.6,86,Moderate
31.3,65.3,6.3,16,11.8,52.4,0.6,16.4,36.9,3.9,7.4,17.5,65,Moderate
20.8,41.6,5.3,14.2,9.7,48.2,0.5,15.3,38.5,3.5,7,15.1,59,Moderate
17.6,35.7,5.8,14.7,10.6,48.4,0.5,14.8,42.4,3.3,6.7,14.1,62,Moderate
23.7,56.9,5.3,13.8,10,45.1,0.5,18.7,54.5,3.4,7.1,16.2,68,Moderate
32,57.6,4.8,12.8,8.9,42.3,0.6,18.6,58.4,3.7,7.1,16.3,80,Moderate
30.7,57.2,5.3,13.4,9.8,40.8,0.5,17,63.4,3.7,7,15.3,80,Moderate
27.8,55.4,6.3,14.9,10.7,38.9,0.6,15.9,54.8,2.8,5.2,9.8,81,Moderate
28.9,59.8,12.2,16,10.8,40.4,0.5,16,61.5,1.7,2.7,2.5,81,Moderate
27.1,48.4,5.3,12.8,9.7,37.5,0.5,15.3,66.5,1.6,2.7,2.5,95,Moderate
34.2,61.5,5.6,12.5,9.2,35.6,0.5,14.9,58.6,1.8,2.7,2.5,93,Moderate
49.7,87.4,7.5,15.9,12,36.3,0.7,15.2,54,2.1,2.7,2.7,99,Moderate
52.7,94.5,5.5,14.5,10.6,36.9,0.7,15.6,54.3,2.1,2.8,2.7,106,Very Unhealthy
31.8,86.3,5.3,12,8.8,35.9,0.4,14.7,61.3,1.7,2.7,2.4,94,Moderate
28,79.8,5,10.9,8.5,34.4,0.4,14.1,62.9,1.6,2.7,2.3,96,Moderate
31.7,69,5,12.1,9.2,33.6,0.5,14.1,67.9,1.7,2.7,2.3,101,Very Unhealthy
49.3,96.3,8.5,18.3,13.6,33.8,0.7,14.2,50.4,2.6,2.7,2.6,105,Very Unhealthy
51.4,103.8,10.4,18.3,15.2,34.7,0.8,14.5,60.6,2.2,2.8,2.8,127,Very Unhealthy
32.2,68.8,5.5,16.4,10.1,35.8,0.6,14,67.1,1.8,2.7,2.5,107,Very Unhealthy
53.3,121.5,6.2,17.2,11.6,34.8,0.8,13.8,53.6,2.2,2.8,2.6,114,Very Unhealthy
51.2,131.8,6.9,19.9,13.5,37.1,0.8,13.3,47.7,3.1,3,2.8,122,Very Unhealthy
59,185.9,7,18.3,12.7,39.9,0.8,13.2,45.2,7.7,3.8,3.5,138,Very Unhealthy
62.8,154.5,8,17.1,12.9,39,0.8,13.5,55.5,8.1,3.9,3.6,157,Very Unhealthy
28.2,79.3,5.4,12.7,9.6,37.4,0.6,12.4,73.9,7,3.7,3.2,120,Very Unhealthy
26.8,87.3,5,12.9,8.9,36.8,0.6,12.1,71.2,7.1,3.5,3,107,Very Unhealthy
30.2,70.6,5.3,15.3,10.2,37.3,0.7,12.1,62.5,7.2,3.5,2.9,109,Very Unhealthy
48.9,93.9,10.2,19.6,15.7,40.1,0.8,12.4,37.8,8.2,3.5,3.2,99,Moderate
33.8,72.4,5,14.9,9.7,36.7,0.7,10.7,66.9,7.4,3.5,3,105,Very Unhealthy
49.6,102.9,5.9,18.5,12.1,37.9,0.8,11.3,63,7.5,3.6,3.1,120,Very Unhealthy
51.6,106,8.7,18.3,12.9,38.3,0.8,10,55.3,7.3,3.5,3,113,Very Unhealthy
56.5,100.7,5,15.7,13.1,36.6,0.8,9.3,63.8,6.5,3.5,3.3,124,Very Unhealthy
26.6,63.8,4.3,12.2,10.3,40.6,0.6,8.6,73.5,6,3.4,2.9,121,Very Unhealthy
49.3,119.8,11.8,13.9,11.2,43.4,0.7,8.8,62.1,6.5,2.5,2.5,113,Very Unhealthy
25.9,46.6,4.2,10.4,9.4,38,0.5,7.9,67,5.9,2.5,2.4,103,Very Unhealthy
34.2,58.3,4.5,11.3,10.3,37.6,0.6,7,74.5,5.3,3.1,2.4,118,Very Unhealthy
58.6,111.7,4.4,13.8,11.6,28.2,0.8,7.8,66.1,6,3.3,2.7,126,Very Unhealthy
62.2,122.6,4.5,12.8,10.8,22.4,0.8,7.9,70.1,5.7,3.4,2.7,141,Very Unhealthy
62.6,134.8,4.3,12.7,10.7,22.1,0.7,7.5,80,5.5,3.4,2.6,155,Very Unhealthy
41.1,104.3,4.1,10.7,9,16.2,0.7,5.6,91.2,4.4,3,2.1,152,Very Unhealthy
39.6,86.8,4,10.8,9.2,13.2,0.7,6.1,73,4.8,2.8,2.1,126,Very Unhealthy
23.7,45.3,4.5,11.1,10.5,16.8,0.6,7.7,64.9,5.8,2.6,2.2,94,Moderate
55.5,94.4,4.2,13.7,11,16.7,0.8,7.8,67.8,5.5,3.2,2.5,130,Very Unhealthy
48,138.2,4.3,14.5,11.7,25,0.7,7.3,74.5,6.2,3.2,2.5,143,Very Unhealthy
40.4,89.1,4.2,13.7,11.2,31.9,0.6,6.4,83.3,4.4,3.5,3.1,138,Very Unhealthy
56.6,102.8,4.2,14.1,10.9,25.5,0.7,7.4,92.2,4,5.1,4.2,144,Very Unhealthy
63.2,120.5,3.9,13.2,10.3,17.8,0.8,7.9,100.9,3.3,6,4.7,166,Very Unhealthy
51.3,112,4.1,11.1,9.9,12.6,0.8,7.2,83.3,2.7,5.1,2.3,154,Very Unhealthy
43.3,92.6,4.6,12.8,10.4,22,0.5,8.8,70.8,2.8,5.1,2.1,113,Very Unhealthy
46.2,92.8,4.2,13.6,11,15.5,0.7,7.5,78.9,2.6,5.2,3.1,133,Very Unhealthy
63.7,140.6,4.8,16.2,11.7,10.5,0.8,13.3,73.5,2.7,5.7,3.8,133,Very Unhealthy
51.3,128.1,12.2,27.7,24.4,9,0.9,9.4,67.7,3.2,5.1,4.1,147,Very Unhealthy
44.8,89.1,52.6,36.6,65.4,12.1,0.8,9.6,77.1,6.2,3,2.2,155,Very Unhealthy
69.1,111.6,43.4,44.3,59.5,14.6,0.9,11.9,89.4,6.1,3.3,2.3,208,Severe
71,150,8.4,37.5,24.1,22.7,1,12,63.7,6.7,3.2,2.4,184,Very Unhealthy
59.3,115.9,9.9,34.9,23.8,22.6,0.9,8.5,61.1,6.4,3.2,2.4,160,Very Unhealthy
74.6,146.6,14.1,35.6,26.4,22.8,1,9.1,61.7,5.8,3.1,2.4,160,Very Unhealthy
67.1,124.6,11.3,27.3,22.4,22.2,0.9,10.1,71.9,5.9,3.1,2.1,167,Very Unhealthy
51.4,130.8,15.3,24.8,24.8,22.2,0.9,10.1,71,5.9,3.1,2,141,Very Unhealthy
62.5,153.4,17.2,24.4,29.7,22,1.1,9.3,53.7,7.8,2.6,2.4,152,Very Unhealthy
65.1,187.3,7.5,19.3,16.6,22.6,1,9,51.5,6.8,2.9,2.3,146,Very Unhealthy
56.3,154.4,3.8,21.9,10.7,17.1,0.9,7.6,55.3,5.8,3,2.2,150,Very Unhealthy
60.5,148.4,3.8,18.2,11.6,20.1,0.9,8.7,55.6,6.7,2.7,2.2,139,Very Unhealthy
56.6,184.7,14.9,22.7,21.7,23.2,0.9,7,34.7,6.5,2.9,2.3,140,Very Unhealthy
68.8,205.4,4.8,25.7,14.6,22.5,0.9,7.3,69.1,4.9,3.2,2.1,162,Very Unhealthy
75.3,257.6,3.5,16.3,10.1,24.5,0.9,3.9,73.5,4.5,2.4,1.5,202,Severe
32.4,69.1,4.2,15.4,8.9,17.7,0.7,16.6,70,5.4,2.2,1.4,166,Very Unhealthy
26.4,56.3,3.9,13.9,10,19.9,0.7,8.9,62.6,6.2,2.6,2,86,Moderate
27.7,63.9,9.5,16.1,13.2,15.5,0.8,9.8,64.3,5.7,2.7,1.8,105,Very Unhealthy
36.1,87.5,6.9,20.5,13.3,12.4,0.9,5.4,72.1,5.8,2.9,2,133,Very Unhealthy
46,141.7,5.2,15,11.9,11.7,0.8,5.2,64.5,5,3,2,156,Very Unhealthy
46.9,117.6,5.5,14.1,11.7,10,0.8,5.9,64.2,5.2,3.3,2,135,Very Unhealthy
58,143.6,5.3,17.9,13,9.7,0.9,5.8,52.8,5.4,3.4,2.1,130,Very Unhealthy
39.8,75,5.2,15.7,11.6,13.3,0.8,5.9,57.5,6.1,3.2,2,121,Very Unhealthy
43.3,91.5,5.6,13.6,11.1,10.8,0.8,5.7,64.6,6,3.1,2,110,Very Unhealthy
48.7,92.3,5.4,14.2,11,8,0.9,7.4,64.4,6.6,2.7,1.9,122,Very Unhealthy
47.1,91.3,5.6,15.2,11.9,7,1,7.3,64.5,6,3.1,2,133,Very Unhealthy
65,141.8,6.1,18.6,14.3,6.4,0.9,8,74.5,5.8,3.2,2.1,141,Very Unhealthy
50.5,123.8,6.6,19,16.2,5.8,0.8,7.1,65.4,5.7,3.1,2.1,135,Very Unhealthy
46.6,110.9,6.1,15.2,14,5.4,0.7,4.2,67.7,5.6,2.8,2,122,Very Unhealthy
72.6,157.1,6.8,24,13.7,5.3,0.8,6.6,93.6,4.7,2.9,1.9,147,Very Unhealthy
61.5,138.3,6.2,13.9,13.7,4.9,0.6,7.2,91.8,4.7,2.8,1.8,158,Very Unhealthy
73.9,166.9,5.7,10.5,10.8,5,0.7,6.6,93.1,4.9,2.8,1.9,157,Very Unhealthy
54.2,117.5,5.1,12.4,10.4,5.1,0.6,5.4,94.8,4.4,2.9,1.9,155,Very Unhealthy
49.8,108.2,5.8,13.7,11.6,4.7,0.6,6.3,81.3,4.6,2.5,1.8,128,Very Unhealthy
45.2,92.7,4.5,11.3,9.6,3.9,0.5,6.9,79.6,4.7,2.9,1.5,128,Very Unhealthy
46.3,119.8,4.7,8.9,9.4,1.1,0.6,5.8,69.3,5,3,1.8,122,Very Unhealthy
65.6,244.4,5,9,10,4.4,0.7,4.2,62.4,5,2.9,1.7,148,Very Unhealthy
49.1,156.5,5.5,8.1,10.6,4,0.5,5.4,55.4,4.5,2.8,1.6,172,Very Unhealthy
49.1,103.8,6.3,8.8,10.8,4.1,0.5,5.4,66.6,5.3,2.9,1.7,132,Very Unhealthy
48.6,97.1,6.5,8.8,10.2,4.3,0.7,5.1,79.1,5.3,2.9,1.6,134,Very Unhealthy
39.6,74.7,5.9,9,10.5,4.2,0.7,4.3,54.2,26.5,3,5.2,108,Very Unhealthy
43.4,75.9,5.3,7.9,9.6,4.2,0.6,4,49.4,22.6,4,11.4,86,Moderate
42.6,111.1,5.2,8.1,8.6,3.7,0.8,4.1,45.9,2.5,5.7,12.4,102,Very Unhealthy
56.6,141.9,2.7,10.1,8.5,3.9,0.9,6.4,32.8,3.4,4.8,6,122,Very Unhealthy
47.8,158.1,3.1,8.1,7.2,3.3,0.7,9.2,19.5,2.2,4.8,5.3,121,Very Unhealthy
64.7,261.1,5.6,9.7,9,3.4,0.7,7.8,17.3,2.7,3.6,5.2,153,Very Unhealthy
46.9,154,4,9,9.7,3.1,0.6,7.9,36.5,2.3,3.8,4.7,140,Very Unhealthy
47.3,114.3,6.3,10.4,12.1,3.2,0.8,7.4,58.1,2.4,4.3,4.9,131,Very Unhealthy
61.6,174.1,6,10.6,12.4,2.9,1.1,7.6,44.1,2.7,4.5,4.7,157,Very Unhealthy
124.8,187.1,24.2,32,39.2,32,1.7,13,35.9,2.9,7.6,2.3,216.3,Severe
50.8,118,4,9.3,16.6,29.2,0.5,14,17.7,1.1,6,0.8,92,Moderate
58.3,85.4,3.7,10.8,17.6,23.6,0.5,14.5,33.9,0.9,1.2,-0.6,122,Very Unhealthy
59.9,78,3.2,9.7,15.5,19,0.5,16.4,41.2,1,3.5,1.1,80,Moderate
55.6,92.4,2.9,11.7,17.3,16.7,0.5,27.1,44.9,1,5.6,1.4,105,Very Unhealthy
83.7,134.1,15.7,13.6,40.4,17.6,1.1,25.9,43.7,2.3,10.7,3.7,105,Very Unhealthy
141.8,243.9,58.6,21.9,119.5,23.7,1.5,24,32.2,3.9,10.9,2.1,293,Severe
133.3,220,48.9,19.9,101.6,23.9,1.1,25.6,36.2,3.4,6.3,0.1,321,Hazardous
69.9,114.9,12.5,10.5,31.8,23.1,0.5,19,21.6,1.3,-0.3,-1.2,206,Severe
129.9,234.8,30.4,24.8,76.5,24.9,1.8,19,20.2,4.4,12.3,3.4,265,Severe
94.3,173,47.8,17.7,97.1,28,1.1,16.7,17,2.9,2.5,-1.8,285,Severe
60.9,98.9,11.4,13.8,33.4,27.8,0.6,17.6,30.8,1.4,1.9,-1.6,152,Very Unhealthy
62,76.1,6.1,11.7,22.6,25.3,0.7,15.7,19.1,1.3,2.1,-0.1,93,Moderate
69,104.8,18.3,11.5,42.3,22.9,0.9,16.1,18.4,2.1,4.8,1.2,113,Very Unhealthy
89.6,152.4,38.5,18.8,83.3,18.5,1.1,22.4,36.2,2.9,8.3,1.7,183,Very Unhealthy
106.9,199.7,50.2,18.6,102.4,19,1.3,21.8,29.7,3.5,10.6,2.7,226,Severe
97.6,185.7,42.7,15.4,86.6,21.7,0.9,16.9,30.1,7.1,8.2,1.3,277,Severe
68.2,119.9,3.1,9.7,15.5,18.3,0.6,20.3,47.8,1.5,6.2,2,126,Very Unhealthy
63.3,90.9,4.3,10.2,18,21.3,0.5,19.7,43.9,1.2,1.4,-0.5,148,Very Unhealthy
74.8,112.8,17.3,15,44.4,23.7,0.9,16.5,25,3,7.5,1.8,102,Very Unhealthy
104.1,177.8,44.6,21.1,95.7,24.1,1.2,19.3,24.2,4.5,8.1,0.9,236,Severe
116.8,206.3,50,21.6,105.2,23.5,1.2,18.9,18.9,4.1,8.4,1.3,265,Severe
124.9,237.1,32.7,19.2,74.2,21.5,1.1,24.6,46.4,2.6,8.9,1.7,303,Hazardous
124.9,213.8,33.8,17.7,74.6,23.9,1.3,23.8,37.8,3.2,8.7,1.8,267,Severe
123.3,206.9,43.1,17,88.8,25.5,1,24,49,3.7,5.3,-0.7,316,Hazardous
100.4,187.8,14.3,22,47,19.7,1,21.3,47.4,2.2,9.6,2.4,212,Severe
138.5,258.6,41.1,30.4,100,22.8,1.3,23.2,41.2,3.2,12.3,2.2,303,Hazardous
138,280.4,37.6,24.7,88.1,27.4,1.2,20.4,31.2,2.9,11.7,2.1,321,Hazardous
131.7,322.6,26.9,23.7,69.6,26.4,1,17.5,17.1,2.2,15.4,4.5,312,Hazardous
105.3,191.6,13.4,24.9,48.6,24.3,1.1,21.6,34.2,3.4,9.7,1.8,231,Severe
153.2,269.5,43,31.6,104.5,25.5,1.6,27.6,28.3,3.7,13.6,2.7,308,Hazardous
91.6,145.2,16.6,16.3,44.7,25.4,0.9,21.8,46.7,1.8,-1.3,-3,303,Hazardous
66.5,100.2,8.3,15.9,30.6,21.3,0.8,20.7,42.6,1.5,5.4,0.7,118,Very Unhealthy
73.3,200.8,6.3,12.5,23.7,17.6,0.6,22.5,59.4,4.3,16.9,5.5,148,Very Unhealthy
53.2,244.2,2.5,8.4,13.1,14.5,0.4,24.3,65.3,0.8,16.1,5.4,198,Very Unhealthy
67.5,139.7,4,12.1,19.5,14.2,0.7,24.2,43.9,1.5,8,3.1,150,Very Unhealthy
70.8,144,9.1,14.7,30.6,15,0.9,26.9,50,1.7,11.1,3.7,123,Very Unhealthy
118.1,236.6,39,26.6,92.6,18.6,1.2,25.5,47.1,2.6,12.5,2.7,268,Severe
119.3,225,33.8,24.8,82.1,23.3,1.1,24.3,34.2,2.3,7.6,0.6,306,Hazardous
62.3,87.8,3.9,10.6,17.8,22.2,0.7,17.8,30.7,1.1,0.1,-0.8,156,Very Unhealthy
79.7,138.4,15.8,18.5,45.8,22.4,0.9,21.4,42,1.8,10.2,2.3,109,Very Unhealthy
114.5,203.2,44.8,29,104.6,25.7,1.3,23.4,34.4,3.2,9.6,0.4,258,Severe
140.6,225.3,23.2,23.9,63.8,25.8,1.3,34.5,26.7,3.3,9.1,1.5,300,Severe
48.6,64.9,3.4,11.9,18.3,23.2,0.5,19.2,45.3,0.9,-6.2,-4.6,236,Severe
35.7,50.1,5.8,11.7,22.1,17.2,0.8,18.7,43.8,1.3,3.2,0.4,74,Moderate
59,91,12.9,14.9,37.1,18.8,0.8,22.4,36.4,1.3,5.1,0.9,109,Very Unhealthy
23.1,153.5,2.6,13.2,18.3,14.1,0.4,26.1,63.1,0.6,14.2,3.9,99,Moderate
30,62,2.5,11.7,16.7,13.1,0.4,32.4,55.3,0.7,3.3,-0.1,120,Very Unhealthy
25.8,36.2,3.6,12.2,19,12.5,0.5,18.6,46,7.1,8.2,2.5,61,Moderate
56.1,82.3,9.9,15.9,33.2,13.8,0.7,19.4,32.5,1.5,6.4,2.5,74,Moderate
43.9,69.9,9.8,13.1,30,14.9,0.6,22.2,36.2,0.9,3.3,0.7,103,Very Unhealthy
29,40.1,4.2,11.5,19.3,14,0.5,17.9,39,4.3,5.7,1.7,59,Moderate
30.1,40.1,5.2,14.4,24,12.8,0.6,16.1,30.9,0.9,2.9,1.1,53,Moderate
37.8,67.4,12.4,14.7,36.1,12.7,0.8,17.2,43.2,1.4,5.5,1.7,74,Moderate
66.6,135.9,29.5,18.9,68.6,17.3,1,21.7,36.4,1.7,10.4,2.7,114,Very Unhealthy
79.3,153.6,22.8,25.1,64.3,16.6,1,20.1,40.9,2.1,9.9,2.3,161,Very Unhealthy
85.8,141.6,12.1,25.1,46.8,16.3,0.9,19,41,1.5,6.5,1.5,179,Very Unhealthy
51.4,76.2,5.2,19.2,29,13.5,0.6,18.8,41.8,1.1,2.1,0.1,140,Very Unhealthy
47.3,61.7,4,16.2,23.9,10.5,0.7,17.3,33.4,1,4.4,2.3,67,Moderate
42.9,56.3,3.8,16.6,24.1,9.9,0.6,16.3,44.8,1,2.8,1.2,90,Moderate
87.2,110.6,11.3,19,39,10.5,0.8,17.3,39.1,19.4,24,9.5,92,Moderate
58.8,108.3,18.5,13,44.3,14.6,0.8,16.8,23.5,82.7,76.6,26.1,181,Very Unhealthy
59,108.6,10.3,16.6,34.7,13.9,0.8,17.4,36.7,1.5,7.1,2.7,107,Very Unhealthy
52.4,99.1,3.9,12.8,20.2,12.8,0.5,17.6,52.5,0.8,5.5,2.1,107,Very Unhealthy
36.8,55.9,3.4,12.7,19.1,11.3,0.5,20.4,54.4,0.9,3.4,1,86,Moderate
42.9,61.1,4.9,15.5,24.6,11.5,0.6,21.7,54.2,1.2,4.6,1.3,84,Moderate
56,88.1,25.1,22.5,65.2,10.9,0.8,17.6,47,2.4,7.7,2.1,95,Moderate
76.7,133.2,37.9,31.1,95.6,11.7,1,18.3,19.6,3.4,12,3.7,115,Very Unhealthy
96.7,168.9,38.5,31.4,96.9,14.2,1.2,17.3,21.6,2.4,8.8,2.3,202,Severe
88.3,149.3,29.9,35.4,86.9,15.1,0.9,16.9,26.8,0,4.2,-0.1,218,Severe
57.6,87.5,10.9,17.4,36.5,14.2,0.6,17,47.1,0,1.8,0,137,Very Unhealthy
32.5,39.5,2.4,10.7,15.3,10.1,0.5,18.2,39.7,0,0.9,0.9,71,Moderate
24.7,36.1,2.5,11,15.9,7.5,0.4,18.8,40.9,0.3,2.4,1.7,53,Moderate
13.7,22,2,8.7,12.6,7.8,0.4,23.2,45.9,0.5,2,1,53,Moderate
9.6,14.5,1.9,7.3,11,7,0.4,22.4,44.3,0.4,1,0.9,54,Moderate
28.5,46.4,5.8,14,24.6,7,0.6,22.9,41,0.6,3.9,1.9,67,Moderate
21.9,37.9,4.2,7,14.4,7.2,0.3,28.5,38.6,0.2,1.8,1.2,79,Moderate
916.7,1000,37.7,13.6,69.7,99.4,0.2,48,51.3,86.2,85.7,31.6,1046.2,Out of Range
59.9,91,13.1,15.1,33.7,37.1,0.9,31.5,21.5,19.5,20.8,3.4,124,Very Unhealthy
51.4,87.3,6.1,17,28.2,17.9,0.8,23.3,24.5,0.7,6.3,1.8,80,Moderate
40.8,77.7,9.7,15.2,32.2,15.2,0.6,25.2,55.6,0.5,4.5,0.2,110,Very Unhealthy
25.8,56.4,1.8,9.3,12.9,11,0.4,19.5,63,0.3,3.5,1,76,Moderate
27.8,44.9,1.5,8.1,11.2,9,0.4,19.4,67.6,0.3,2.2,0.8,77,Moderate
20.8,44.8,1.6,8.3,11.5,7.6,0.4,19.6,66.8,0.4,2.6,1,79,Moderate
23.1,39,1.9,9.4,13.3,7.7,0.4,19.7,55.2,0.4,2.1,1.1,73,Moderate
33.4,57.3,2.5,10.3,15.1,8.6,0.6,19.8,35.5,0.5,4,2.5,62,Moderate
65,85.3,4.5,13.3,19.4,12.6,0.5,19.7,47.3,0.4,3.6,1.8,99,Moderate
28.2,43.8,3,11.6,17.3,14.2,0.4,19.5,62.1,1.4,0.5,-1.1,122,Very Unhealthy
19.8,32,1.8,12.3,16.2,10.7,0.5,18.1,66.6,0.4,1,-0.4,86,Moderate
24.8,42.7,2.3,11.2,15.8,8.5,0.5,17.8,51.7,0.4,2.6,1.3,68,Moderate
22.8,34.4,3.2,14.3,20.5,8.1,0.5,17.1,52,0.2,1.7,0.7,73,Moderate
21.3,33.1,2.2,9.1,13.3,7.4,0.4,16.4,56.8,0.3,1.2,0.9,70,Moderate
43.8,68.5,4.4,12.3,20.4,7.1,0.8,16.4,35.2,0.5,4.9,3.4,62,Moderate
37.7,67.1,9.4,15.8,32.4,9.7,0.6,16.2,53.1,0.3,3.5,1.2,93,Moderate
31.5,52.7,3.6,13.1,19.9,8.7,0.5,15.9,46.9,3.2,5.9,2.6,68,Moderate
26.9,43.9,3,10.4,16,8.3,0.4,15.7,45.9,0.2,2.2,1.5,63,Moderate
13.6,22.9,2.2,10.7,15.2,8.7,0.4,15.9,51.8,0.2,0.1,0.1,73,Moderate
11.8,60,1.7,9.5,13,8.1,0.4,15.8,62.7,0.2,4.4,1.6,71,Moderate
18.9,626.6,3.3,12.5,18.8,5,0.6,15.5,39.1,0.2,56.9,23,210,Severe
34.6,492.9,13.1,17.9,40.6,5.7,0.8,15.7,29.3,0.5,5.8,0.7,838,Out of Range
27.5,47.8,13.2,17.1,39.9,7,0.7,15.9,47.4,0.4,-1.2,-0.7,149,Very Unhealthy
21.4,37.4,3.3,12.8,19.2,6,0.5,16,43.4,0.2,2.3,1.7,61,Moderate
43.7,81.4,14.8,18.5,44.1,5.9,0.8,16.3,35.3,0.5,6.5,3.3,72,Moderate
41.4,83.6,17.6,21.2,51.6,7.3,0.8,16.5,51.4,9.9,14.4,4.8,102,Very Unhealthy
26,44.9,6.6,18.8,30.9,6.2,0.5,16.1,54,0.3,2.9,1,79,Moderate
41.1,75.1,16.1,21.7,49.6,6.1,0.8,16.5,37.4,0.6,6.3,2.8,75,Moderate
61,110.6,22.8,21.2,60,6.2,0.9,16.6,27.1,0.6,7.1,3.6,106,Very Unhealthy
25.4,42.4,2.1,11.1,15.3,6.5,0.5,16.3,45.1,0.3,1.9,1.6,72,Moderate
12.5,21.5,3.1,11.4,17.3,6.7,0.4,16.2,42.6,0.3,1.1,1,54,Moderate
17.3,34.5,3.1,9.2,14.9,4.8,0.5,16.2,35.3,0.5,2.6,2.4,48,Good
30.6,86.2,3.9,13.1,20.4,4.9,0.5,16.3,26.2,0.4,7.3,4.5,55,Moderate
27.6,59,6.1,12.9,23.7,8,0.6,16.5,33.3,0.4,3.4,2.1,78,Moderate
12.8,21.4,2.9,6.7,11.9,9.9,0.4,16.8,28.4,0.2,0.4,1,48,Good
19.9,31.3,6.1,8.8,19.4,9.9,0.4,16.9,25.8,0.3,2.3,1.7,33,Good
20.3,38.2,9.8,10.7,27.5,10,0.5,14,17.3,0.4,2.4,1.9,40,Good
25.5,41.4,4.3,13.1,21.1,10.7,0.5,10.4,3.2,0.3,1.9,2.1,41,Good
36.7,72.7,9.5,18.6,35.6,11.2,0.7,10.7,3.2,0.3,4.4,2.7,60,Moderate
47.7,87.7,11.8,16.5,37,10.2,0.6,10.5,2.9,0.4,3,2.6,99,Moderate
17.7,31.6,6.9,13.3,25.5,9.3,0.4,10.4,1.8,0.4,1,1.7,45,Good
24,40.9,3.4,9.7,16,8.2,0.5,10.5,3.3,0.4,1.9,2.9,38,Good
25.9,43.1,3,11.8,17.5,8.3,0.5,10.6,3.8,0.3,1.9,2.7,44,Good
34.5,49.9,2.2,13.3,17.8,6.8,0.5,10.6,3.6,0.4,2.2,3.2,49,Good
33.5,55.9,4.7,15.5,24.3,6,0.6,10.6,3.2,0.4,3,3.3,54,Moderate
55.2,103,13.9,22.1,46.4,7.7,0.7,10.6,2.6,0.4,5.9,3.9,89,Moderate
40.4,77.6,10.1,16.8,34.6,8.7,0.7,10.6,1.8,0.3,2.7,2.6,93,Moderate
33.3,64,13.8,15.6,39.4,9.3,0.8,10.6,1.3,3.4,5.4,3.3,76,Moderate
28,50.8,6.1,11.3,22.2,8.4,0.6,10.6,2,0.3,2,2.7,54,Moderate
19,35.1,1.6,6.6,9.7,7.3,0.4,10.6,4.4,0.2,0.5,2.5,44,Good
23.7,43.6,2.4,9,13.5,12.4,0.4,11.3,5,0.2,1.6,2,40,Good
30.2,57.4,8.7,14.7,30,15.2,0.5,11.6,3.2,0.6,2.7,1.4,58,Moderate
18.6,29.2,2.2,10.4,14.7,9.1,0.4,10.6,2.9,0.3,0.5,2,41,Good
18.8,25.9,2.2,8.5,12.7,8.4,0.5,10.6,2.2,0.5,0.8,2.4,31,Good
29.6,43.2,4.9,14.9,24,7,0.6,10.7,2,33.3,32.7,13.3,40,Good
22.3,34.4,5.9,12.6,23.2,6.3,0.5,10.7,2,0.7,1.5,2.6,47,Good
32.3,60.4,11.9,14.3,34.8,5.5,0.7,10.8,2.3,0.6,3.6,3.6,55,Moderate
33,62.8,19.7,16.5,49.9,5.6,0.6,10.9,2.1,0.5,3.1,2.9,71,Moderate
13.7,27.3,3.7,9.5,16.1,6.1,0.4,10.7,2,3.9,3.9,3.6,39,Good
12.9,25.3,4.9,10,18.7,5.2,0.3,10.8,1.5,3.9,4.6,3.9,25,Good
15.5,32.6,2.9,10,15.4,4.5,0.4,10.7,4.2,0.5,1.9,3.2,33,Good
21.1,43.4,5.2,12.7,22.1,5.7,0.5,10.6,13.6,0.1,2.2,2.7,46,Good
7.7,76,4.1,10,17.5,5,0.3,10.4,21.2,0,6,4,46,Good
5.4,10.5,2,6.5,10.2,3.9,0.3,10.3,21.9,4.8,2.6,2.9,53,Moderate
10.6,76.8,3.8,6.7,13.5,3.7,0.3,10.3,20.6,20.5,24.6,10.9,42,Good
169.6,491.5,14.3,9.5,32.5,20.9,0.4,9.3,22.1,61.6,74.4,27.8,466.2,Hazardous
85.4,94.3,28.4,12.8,58.6,23.2,0.7,9.9,11.8,22,19.7,6.5,121.7,Very Unhealthy
25.2,34.2,7.1,10,22.3,12.3,0.5,10.4,17.9,0.2,-0.4,0.7,64,Moderate
23.7,34.7,4.8,10.6,19.1,8.9,0.6,10.5,13.1,3.6,4.7,3.3,36,Good
24.5,43.9,5.9,11.2,21.6,10,0.6,10.5,9.2,0.2,1.7,2.1,47,Good
21.9,37.6,9.7,10.7,27.3,8.2,0.5,10.7,8.3,0.2,0.5,1.7,57,Moderate
21.8,69.6,4.1,9.4,16.9,6.6,0.5,10.7,7.9,0.2,5,4.2,38,Good
80.3,149.7,7.5,10.9,24,6.1,0.6,10.6,4.6,0.3,6.7,6,118,Very Unhealthy
