PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Rank
161.1,281.8,3.1,14.8,16.1,35.6,3.1,118.4,59.7,0,2.6,0,378,Hazardous
102.6,174,3.9,12.7,16.8,34,3.9,41.9,26.9,0,6.4,0.8,240.6,Severe
138.4,212.4,5.1,16.7,21.6,34.4,5.1,77.7,27.2,0,0.9,2,300,Severe
129,211.2,5.7,14.9,19.7,37.4,5.7,78.3,18.7,0,0,1.5,317,Hazardous
96.7,163.4,4.7,15.9,20.5,27.4,4.7,39.4,11.8,0,0,3.1,240,Severe
126.8,154.1,15.7,23.9,39.7,30.3,15.7,93.2,36.7,0.2,0,10,344,Hazardous
106.2,264.1,13.1,23,35.1,20.9,13.1,66,81.6,0.3,0,9.7,503,Out of Range
86.3,231.6,2.7,10.5,10.9,-17.7,2.7,50.1,90.5,0.5,0.2,12.8,308,Hazardous
84,175.1,2.7,0.1,2.8,-1.7,2.7,34.1,69.6,0.3,0.1,9,227,Severe
65.1,93.6,3.1,4.6,6.8,10.8,3.1,22.3,32.3,0.2,0,5.8,120,Very Unhealthy
51,76.6,6.2,20.5,26.2,31.5,6.2,15.5,31.4,0,0,1.3,158,Very Unhealthy
38.7,68.2,8,19.3,26.6,32.1,8,20.1,25.7,0,0,2.1,177,Very Unhealthy
61.1,77.8,9.9,17.8,27.2,34.1,9.9,39.7,25.9,0,0,3.5,201,Severe
58.4,71.4,10.7,17.2,27.4,42.8,10.7,54.7,18.9,0,0,1.4,211,Severe
61.5,75.5,11.4,16.7,27.6,41.7,11.4,42.7,18.2,0,0,2.6,221,Severe
65.4,77.9,12.3,16.1,27.9,46,12.3,28,22.4,0,0,2.3,233,Severe
100.9,195.5,20.4,18.9,37.8,57.1,20.4,31.9,22.8,4.9,19.3,8.2,481,Hazardous
97.5,242.4,5.3,30,33.6,38.6,5.3,36.1,16.3,10.6,34.9,3.9,352,Hazardous
129.3,162.8,14.3,28.3,41.9,66.2,14.3,70.1,25.4,16.9,44.2,5,327,Hazardous
129.6,301.2,21.2,28.8,45.4,71.3,21.2,17.7,34.4,20.5,85.7,11.6,577,Out of Range
100.6,249.7,7.6,18.8,24.3,45.6,7.6,38.8,38.8,4.9,17.9,1.5,411,Hazardous
130.3,141.3,7.1,17.4,23.7,48.6,7.1,52.1,29.1,5.1,14,1.3,212,Severe
53.2,139.2,8.1,15.9,23.3,43.9,8.1,36.2,21.6,5.2,15,1,280,Severe
42,36.9,10.4,18.2,21.8,47.9,10.4,17,25.5,0,0,0,162,Very Unhealthy
50.1,88.6,9.5,14.9,22.5,41.3,9.5,30.7,12.9,0.4,1.9,1.4,223.4,Severe
83.7,328.2,10.9,17.2,27.2,2.7,10.9,41.1,35.6,12.6,20.2,17.8,569,Out of Range
38.9,97,2.2,16.3,17.7,6.3,2.2,26.4,12.5,3,7,6.4,128,Very Unhealthy
46.9,89.5,3,16.2,18.5,19.1,3,42,10.7,3.4,8.9,3.5,129,Very Unhealthy
71,106.3,4.1,15.5,19.3,24.2,4.1,23.7,16,3.7,8.1,4.1,152,Very Unhealthy
53.7,111.6,4.2,14.4,18.1,21.3,4.2,14.5,45.6,2.4,6.4,3.5,176,Very Unhealthy
45.5,100.9,4.3,13.7,17.1,19.4,4.3,12.9,71.9,2.5,6,3.4,167,Very Unhealthy
60.9,70.3,5.3,16.6,21.4,15.2,5.3,14.9,41.2,3,9.2,6.5,106,Very Unhealthy
51.9,80.6,13.7,17.9,31.6,27.6,13.7,15.3,12.9,6.3,19.2,10.6,231,Severe
77.9,194.3,6.7,17.1,23,28,6.7,46.8,16.7,4.8,9.8,5.1,327,Hazardous
57.6,97.4,5.6,15.5,20.4,27,5.6,41.7,25.5,2.6,6.3,3.1,174,Very Unhealthy
77.2,96,7,15.5,21.1,40.8,7,72,9.6,3.7,8.5,1.2,185,Very Unhealthy
45.3,78.6,7.3,12.7,19.7,40.9,7.3,18.6,6.3,2.7,7,0.8,179,Very Unhealthy
103.8,132.9,6.4,13.9,19.9,43.5,6.4,7.8,15.3,0.8,1.4,0.8,211,Severe
25.1,82.6,6,18.7,24.7,30.5,6,38.1,38.5,0,0,0,192,Very Unhealthy
